Layer,	Cycles,	% Utilization,
Conv1,	131980,	0,
Conv2,	3295924,	0,
Conv3,	3424909,	0,
Conv4,	3291787,	0,
Conv5,	3157487,	0,
Conv6,	3154857,	0,
Conv7,	2627935,	0,
